name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
³ª¼º¹ü,08-03,ÇÑÈ­,W 10:2,3,RF,1,5,0,2,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0.379,,0.628,1.07,23,0.67,-0.07,0.057
³ª¼º¹ü,08-04,»ï¼º,L 3:4,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.374,,0.62,1.057,17,1.05,-1.19,-0.124
³ª¼º¹ü,08-05,»ï¼º,L 3:9,3,RF,1,5,0,1,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0.371,,0.617,1.051,22,1.05,-0.59,-0.076
³ª¼º¹ü,08-06,»ï¼º,W 4:1,3,RF,1,4,2,3,0,0,2,9,4,0,0,0,0,0,0,0,0,0,0.376,,0.636,1.074,12,0.77,3.54,0.342
³ª¼º¹ü,08-08,@SK,L 0:4,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.371,,0.629,1.062,13,1.06,-1.19,-0.113
³ª¼º¹ü,08-09,@SK,W 10:5,3,RF,1,3,2,2,1,0,0,3,1,1,0,2,0,1,0,0,0,0,0.374,,0.632,1.07,17,1.27,2.08,0.204
³ª¼º¹ü,08-10,·Ôµ¥,W 3:2,3,RF,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.371,,0.626,1.062,13,2.14,-0.42,-0.125
³ª¼º¹ü,08-11,·Ôµ¥,L 3:5,3,RF,1,6,0,4,2,0,0,6,1,1,0,0,0,0,2,0,0,0,0.376,,0.633,1.072,22,1.21,1.57,0.036
³ª¼º¹ü,08-12,@µÎ»ê,L 0:3,3,RF,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.372,,0.628,1.065,22,1.04,-0.61,-0.06
³ª¼º¹ü,08-13,@µÎ»ê,L 1:2,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.368,,0.62,1.053,17,1.72,-2.6,-0.258
³ª¼º¹ü,08-15,@KIA,L 2:4,3,CF,1,4,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.37,,0.625,1.058,10,0.63,0.56,0.054
³ª¼º¹ü,08-16,@KIA,L 3:4,3,RF,1,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.368,,0.62,1.052,14,1.47,-0.15,0.017
³ª¼º¹ü,08-17,ÇÑÈ­,W 3:1,3,RF,1,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.367,,0.619,1.049,11,1.37,1.46,0.288
³ª¼º¹ü,08-18,ÇÑÈ­,L 9:14,3,RF,1,4,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0.363,,0.612,1.041,24,0.93,-0.67,-0.074
³ª¼º¹ü,08-19,@³Ø¼¾,L 3:4,3,RF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.36,,0.608,1.033,9,0.9,-1.11,-0.093
³ª¼º¹ü,08-20,@³Ø¼¾,W 4:3,4,RF,1,4,1,1,0,0,1,4,3,0,0,0,0,0,2,0,0,0,0.359,,0.612,1.036,13,1.41,1.3,0.126
